***************************************************************************************************************************************************************************************** 

# Name                   Value      Units             
Sref_                   6.1935350 Lunit^2             
Cref_                   0.6425750 Lunit               
Bref_                   9.6386220 Lunit               
Xcg_                    0.0000000 Lunit               
Ycg_                    0.0000280 Lunit               
Zcg_                   -0.0000000 Lunit               
Mach_                   0.2330030 no_unit             
AoA_                    4.0000000 deg                 
Beta_                   0.0000000 deg                 
Rho_                    1.2250000 Munit/Lunit^3       
Vinf_                  50.0000000 Lunit/Tunit         
Roll__Rate              0.0000000 rad/Tunit           
Pitch_Rate              0.0000000 rad/Tunit           
Yaw___Rate              0.0000000 rad/Tunit           

   Wing       S        Xavg      Yavg      Zavg     Chord     V/Vref      Cl        Cd        Cs        Cx        Cy       Cz        Cmx       Cmy       Cmz 
        1   0.68079   0.40931   3.23294   0.01290   0.60386   0.99880   1.25698   0.03042   0.00673  -0.05734   0.00673   1.25604   6.72444  -0.71531   0.30972 
        1   0.68887   0.40968   3.27310   0.01280   0.60197   0.99878   1.25420   0.03381   0.00669  -0.05376   0.00669   1.25350   6.81553  -0.71737   0.29505 
        1   0.69695   0.41006   3.31327   0.01270   0.60008   0.99868   1.25130   0.03406   0.00659  -0.05331   0.00659   1.25063   6.90502  -0.71953   0.29702 
        1   0.70503   0.41043   3.35343   0.01260   0.59819   0.99865   1.24809   0.03763   0.00653  -0.04952   0.00653   1.24767   6.99424  -0.72138   0.28029 
        1   0.71311   0.41081   3.39359   0.01251   0.59630   0.99866   1.24405   0.03184   0.00662  -0.05502   0.00662   1.24324   7.07521  -0.72332   0.31589 
        1   0.72119   0.41118   3.43375   0.01241   0.59441   0.99863   1.24040   0.03561   0.00656  -0.05100   0.00656   1.23986   7.16219  -0.72495   0.29739 
        1   0.72928   0.41155   3.47391   0.01231   0.59252   0.99853   1.23661   0.03570   0.00644  -0.05065   0.00644   1.23608   7.24694  -0.72670   0.29968 
        1   0.73736   0.41193   3.51407   0.01221   0.59063   0.99848   1.23249   0.03978   0.00638  -0.04629   0.00638   1.23226   7.33143  -0.72810   0.27811 
        1   0.74544   0.41230   3.55423   0.01211   0.58874   0.99847   1.22731   0.03323   0.00649  -0.05246   0.00649   1.22664   7.40508  -0.72944   0.31952 
        1   0.75352   0.41268   3.59439   0.01201   0.58685   0.99842   1.22266   0.03760   0.00642  -0.04778   0.00642   1.22230   7.48632  -0.73056   0.29545 
        1   0.76160   0.41305   3.63455   0.01192   0.58496   0.99829   1.21780   0.03777   0.00626  -0.04727   0.00626   1.21747   7.56441  -0.73181   0.29642 
        1   0.76968   0.41342   3.67471   0.01182   0.58307   0.99823   1.21253   0.04244   0.00618  -0.04225   0.00618   1.21254   7.64172  -0.73263   0.26896 
        1   0.77776   0.41380   3.71487   0.01172   0.58118   0.99822   1.20600   0.03529   0.00631  -0.04892   0.00631   1.20553   7.70554  -0.73335   0.31552 
        1   0.78584   0.41417   3.75504   0.01162   0.57929   0.99815   1.19995   0.04031   0.00623  -0.04349   0.00623   1.19984   7.77741  -0.73371   0.28478 
        1   0.79393   0.41455   3.79520   0.01152   0.57740   0.99799   1.19356   0.03999   0.00606  -0.04337   0.00606   1.19344   7.84425  -0.73413   0.28781 
        1   0.80201   0.41492   3.83536   0.01143   0.57551   0.99790   1.18663   0.04528   0.00599  -0.03761   0.00599   1.18690   7.90970  -0.73401   0.25336 
        1   0.81009   0.41530   3.87552   0.01133   0.57362   0.99786   1.17808   0.03701   0.00616  -0.04526   0.00616   1.17779   7.95729  -0.73361   0.30872 
        1   0.81817   0.41567   3.91568   0.01123   0.57173   0.99777   1.17007   0.04285   0.00604  -0.03888   0.00604   1.17021   8.01444  -0.73284   0.26916 
        1   0.82625   0.41604   3.95584   0.01113   0.56984   0.99757   1.16151   0.04317   0.00577  -0.03796   0.00577   1.16169   8.06433  -0.73201   0.26621 
        1   0.83433   0.41642   3.99600   0.01103   0.56795   0.99746   1.15213   0.04946   0.00568  -0.03102   0.00568   1.15277   8.11060  -0.73045   0.22099 
        1   0.84241   0.41679   4.03616   0.01093   0.56606   0.99735   1.14045   0.03936   0.00595  -0.04029   0.00595   1.14042   8.13135  -0.72829   0.29024 
        1   0.85050   0.41717   4.07632   0.01084   0.56417   0.99722   1.12946   0.04624   0.00581  -0.03266   0.00581   1.12994   8.16406  -0.72570   0.23891 
        1   0.85858   0.41754   4.11648   0.01074   0.56228   0.99694   1.11762   0.04653   0.00542  -0.03154   0.00542   1.11814   8.18588  -0.72293   0.23355 
        1   0.86666   0.41791   4.15664   0.01064   0.56039   0.99678   1.10465   0.05394   0.00530  -0.02325   0.00530   1.10572   8.20151  -0.71913   0.17511 
        1   0.87474   0.41829   4.19681   0.01054   0.55850   0.99659   1.08845   0.04286   0.00565  -0.03317   0.00565   1.08879   8.18152  -0.71413   0.25223 
        1   0.88282   0.41866   4.23697   0.01044   0.55661   0.99639   1.07279   0.05086   0.00552  -0.02410   0.00552   1.07372   8.17317  -0.70856   0.18646 
        1   0.89090   0.41904   4.27713   0.01035   0.55472   0.99600   1.05537   0.04951   0.00513  -0.02423   0.00513   1.05626   8.14408  -0.70231   0.18956 
        1   0.89898   0.41941   4.31729   0.01025   0.55283   0.99575   1.03647   0.05719   0.00534  -0.01525   0.00534   1.03793   8.10555  -0.69459   0.12217 
        1   0.90706   0.41979   4.35745   0.01015   0.55094   0.99548   1.01276   0.04322   0.00606  -0.02753   0.00606   1.01330   8.01423  -0.68443   0.22151 
